"BusinessLineKey","Workspace","MenuRoot","Feature","ServiceOrApiFeature","UIExposureType","UIRouteOrPath","UIEntryPoint","PermissionReference","LicenseGate","CoverageStatus","Notes"
"real-estate","Real Estate","Real Estate","Dashboard","GET /api/v1/real-estate/dashboard; IRealEstateService.GetDashboardAsync","Page","/RealEstate/Dashboard","Real Estate workspace > Dashboard","RealEstateReportsPermissions.View","BusinessLineKeys.RealEstate","Covered","Standalone dashboard page and workspace default route."
"real-estate","Real Estate","Real Estate","Properties","GET/POST/PUT/DELETE /api/v1/real-estate/properties; IRealEstateService property CRUD","Page + Detail/Form Route","/RealEstate/Properties; /RealEstate/Properties/{Id}; /RealEstate/Properties/Form","Real Estate workspace > Properties","RealEstatePropertyPermissions.View/Create/Edit/Delete","BusinessLineKeys.RealEstate","Covered","List, detail, create, edit, and delete are reachable."
"real-estate","Real Estate","Real Estate","Units","GET/POST/PUT/DELETE /api/v1/real-estate/units; IRealEstateService unit CRUD","Page + Detail/Form Route","/RealEstate/Units; /RealEstate/Units/Form","Real Estate workspace > Units","RealEstateUnitPermissions.View/Create/Edit/Delete","BusinessLineKeys.RealEstate","Covered","List, create, edit, and delete are reachable; property detail links to unit edit."
"real-estate","Real Estate","Real Estate","Owner leases","GET/POST/PUT /api/v1/real-estate/leases; owner direction; CreateLeaseAsync/UpdateLeaseAsync","Page + Detail/Form Route","/RealEstate/OwnerLeases; /RealEstate/Leases/{Id}; /RealEstate/Leases/Form/{DirectionText}","Real Estate workspace > Owner Leases","RealEstateLeasePermissions.View/Create/Edit","BusinessLineKeys.RealEstate","Covered","Owner lease list, detail, create, and edit routes are reachable."
"real-estate","Real Estate","Real Estate","Tenant leases","GET/POST/PUT /api/v1/real-estate/leases; tenant direction; CreateLeaseAsync/UpdateLeaseAsync","Page + Detail/Form Route","/RealEstate/TenantLeases; /RealEstate/Leases/{Id}; /RealEstate/Leases/Form/{DirectionText}","Real Estate workspace > Tenant Leases","RealEstateLeasePermissions.View/Create/Edit","BusinessLineKeys.RealEstate","Covered","Tenant lease list, detail, create, and edit routes are reachable."
"real-estate","Real Estate","Real Estate","Lease workflow actions","POST /api/v1/real-estate/leases/{id}/generate-installments|activate|suspend|terminate","Inline Action","/RealEstate/OwnerLeases; /RealEstate/TenantLeases; /RealEstate/Leases/{Id}","Lease row and detail action buttons","RealEstateInstallmentPermissions.Generate; RealEstateLeasePermissions.Activate/Suspend/Terminate","BusinessLineKeys.RealEstate","Covered","Generate, activate, suspend, and terminate are visible actions."
"real-estate","Real Estate","Real Estate","Collections and installments","GET /api/v1/real-estate/installments; POST /installments/payments","Page","/RealEstate/Collections","Real Estate workspace > Collections","RealEstateInstallmentPermissions.View/RecordPayment","BusinessLineKeys.RealEstate","Covered","Collections page exposes installment list and record payment action."
"real-estate","Real Estate","Real Estate","Expenses","GET/POST/PUT/DELETE /api/v1/real-estate/expenses; IRealEstateService expense CRUD","Page","/RealEstate/Expenses","Real Estate workspace > Expenses","RealEstateExpensePermissions.View/Create/Edit/Delete","BusinessLineKeys.RealEstate","Covered","Expenses page includes list, filters, create, edit, and delete."
"real-estate","Real Estate","Real Estate","Utility accounts","GET/POST/PUT/DELETE /api/v1/real-estate/utility-accounts","Page","/RealEstate/Utilities","Real Estate workspace > Utilities","RealEstateUtilityPermissions.View/Create/Edit/Delete","BusinessLineKeys.RealEstate","Covered","Utility accounts are managed in the Utilities page."
"real-estate","Real Estate","Real Estate","Utility bills","GET/POST/PUT/DELETE /api/v1/real-estate/utility-bills; POST /mark-paid","Inline Action","/RealEstate/Utilities","Utility bills section and mark-paid action","RealEstateUtilityPermissions.View/Create/Edit/Delete","BusinessLineKeys.RealEstate","Covered","Utility bills and mark-paid workflow are managed in the Utilities page."
"real-estate","Real Estate","Real Estate","Reports","GET /api/v1/real-estate/reports; GetReportsAsync","Page","/RealEstate/Reports","Real Estate workspace > Reports","RealEstateReportPermissions.View","BusinessLineKeys.RealEstate","Covered","Reports page exposes the Real Estate report endpoint."
"business-line-management","Admin","Organizational Structure","Business Line catalog","GET/POST/PUT /api/v1/organization/business-lines; IBusinessLineService","Page","/Organization/BusinessLines","Organizational Structure > Business Lines","ParentCompanyPermissions.View/ManageLicense","Platform scoped; not gated by Business Line","Covered","Platform Manager can list, create, edit, activate, and deactivate catalog entries."
"business-line-management","Admin","Organizational Structure","License category defaults","LicenseCategoryDto.BusinessLines; ILicenseCategoryService create/update","Inline Action","/Organization/LicenseCategories","Default Business Lines multi-select in license category modal","ParentCompanyPermissions.ManageLicense","Platform scoped; not gated by Business Line","Covered","Selected defaults initialize parent company license Business Lines."
"business-line-management","Admin","Organizational Structure","Parent company licensed Business Lines","CompanyLicenseDto.BusinessLines; IParentCompanyService create/update license","Inline Action","/Organization/ParentCompanies","Licensed Business Lines multi-select in create/license modals","ParentCompanyPermissions.ManageLicense","Platform scoped; not gated by Business Line","Covered","Platform Manager can override licensed Business Lines per parent company."
"business-line-management","Home","Dashboard","Current license Business Line chips","CompanyLicenseSummaryDto.BusinessLines; CompanyService.GetCurrentLicenseAsync","Inline Action","/Dashboard","Current license dashboard chips","Authenticated company user","Current active/suspended/expired license behavior applies","Covered","Dashboard displays enabled Business Lines for current company context."
"business-line-management","Navigation","All workspaces","Business Line navigation filtering","CompanyService.GetCurrentLicenseAsync; NavigationMenuResolver BusinessLineKey filtering","Inline Action","AdminLayout/MainLayout navigation shell","Workspace rail, mobile switcher, more hub, command palette","Existing menu permissions plus Business Line entitlement","Current parent company license Business Line keys","Covered","Catering and Real Estate roots hide unless both permission and license entitlement allow them."
"future-business-line","N/A","N/A","Future catalog entries without implemented pages","BusinessLine catalog create/update only","Intentionally Backend-Only","N/A","No navigation entry until implementation exists","ParentCompanyPermissions.ManageLicense","Catalog entry only; no workspace/menu gate until implemented","Covered","New Business Lines such as Car Washing or Flower Shop must not be seeded or added to navigation until pages, permissions, and menu mapping exist."
